timestamp,front-end,carts,orders
2022-06-05-11-10-36,47000.20142856893,52055.400952380616,7252.226190476192
2022-06-05-11-11-36,47181.200952380044,36628.9933333335,6118.449523809522
2022-06-05-11-12-36,46339.50857142948,34574.08571428586,5750.639999999999
2022-06-05-11-13-36,46126.010952378914,45311.79523809519,7131.516666666666
2022-06-05-11-14-36,57814.476253057386,66345.46669367643,7233.539698277295
2022-06-05-11-15-36,55957.36095238232,66403.01238095203,7351.4023809523815
2022-06-05-11-16-36,46185.20697625735,57518.287926264806,8273.383430883465
2022-06-05-11-17-36,46345.42430077868,49548.77300865035,7475.418117238007
2022-06-05-11-18-36,47546.11479891031,77009.8791317551,11340.110391397631
2022-06-05-11-19-36,48202.65714285715,63807.63809523792,9470.15380952381
2022-06-05-11-20-36,45733.00445181739,39775.49791109122,6404.5879445245655
2022-06-05-11-21-36,46489.49436168816,31156.28590426921,5818.170810886123
2022-06-05-11-22-36,43046.14718532606,46975.92393390591,7949.142489842468
2022-06-05-11-23-36,45091.6211535927,51374.88422670194,7634.092384758352
2022-06-05-11-24-36,47893.30584814833,35451.625342850384,5300.741206533803
2022-06-05-11-25-36,46132.15224471915,45718.2274141988,6710.944793375801
2022-06-05-11-26-36,46649.430963221566,57248.65308855783,8052.882318921816
2022-06-05-11-27-36,45688.772383869386,33172.76162843308,4831.067441689344
2022-06-05-11-28-36,46480.50571428481,50656.27142857093,8337.878571428573
2022-06-05-11-29-36,46650.51666666667,46012.09380952421,8373.859047619046
2022-06-05-11-30-36,45889.97904762086,39537.55714285799,6878.425714285715
2022-06-05-11-31-36,45140.46714285442,31516.50333333304,5229.754285714287
2022-06-05-11-32-36,45546.55142857233,44369.14571428572,7573.320952380953
2022-06-05-11-33-36,45427.96714285896,23002.897142858386,4214.992380952381
2022-06-05-11-34-36,44712.25474367984,6310.39335400968,1621.7941739679395
2022-06-05-11-35-36,45371.55271753777,25109.46308357777,4126.089345392853
2022-06-05-11-36-36,46053.92523809615,39260.38714285736,5350.664285714285
2022-06-05-11-37-36,46782.41047618956,54384.89189155456,7345.751011596937
2022-06-05-11-38-36,45251.52142857143,39798.08619047426,6283.797619047618
2022-06-05-11-39-36,45981.211904761905,43823.00714285675,6467.069047619047
2022-06-05-11-40-36,46907.072380951475,63782.98619005591,8757.006666666666
2022-06-05-11-41-36,48099.49000000273,64582.019523809286,9055.697142857143
2022-06-05-11-42-36,44370.7619047619,30346.644285714094,4519.897619047619
